component_id,module_id,layer,status,readiness_percent,source_ids,notes
B08_LOAD_HANDOFF,B09,B08_HANDOFF,VALIDATED,80,SRC-B09-SCN-SUPPLY-FIXTURE,Consumes canonical B08 net-load rows without double counting.
GENERATION_PANEL,B09,GENERATION_PANEL,VALIDATED,75,SRC-B09-SCN-SUPPLY-FIXTURE,Explicit component/region/timestamp panel with zero-row semantics.
PHYSICAL_ADEQUACY,B09,PHYSICAL_ADEQUACY,VALIDATED,80,SRC-B09-SCN-SUPPLY-FIXTURE,Residual and surplus identities executable on bounded inputs.
ENERGY_INTEGRATION,B09,ENERGY_INTEGRATION,VALIDATED,80,SRC-B09-SCN-SUPPLY-FIXTURE,Explicit timestep kW-to-kWh conversion.
PEAK_EXTRACTION,B09,PEAK_EXTRACTION,VALIDATED,70,SRC-B09-SCN-SUPPLY-FIXTURE,Bounded residual/surplus peaks only.
DISPATCH_STORAGE,B09,DISPATCH_STORAGE,PARTIAL,50,SRC-B09-SCN-SUPPLY-FIXTURE,"B09-P3 resolves the authority architecture: default physical adequacy has no dispatch; B07 household battery action is already reflected in B08 and cannot be dispatched again; optional system storage requires separate asset, SOC, power/energy, efficiency and explicit schedule authority. No real system-storage schedule is materialized."
NATIONAL_SCALING,B09,NATIONAL_SCALING,PARTIAL,40,SRC-B09-ENTSOE-ACTUAL-GENERATION-TYPE-2026;SRC-B09-ENTSOE-GENERATION-UI-2026,"B09-P3 recognizes the source-native Hungarian control-area A75 generation grain as suitable for a national baseline without regional downscaling. Real numeric acquisition, model-use authority, provenance and expected production-type manifest remain Q; regional DSO/county generation remains separate."
OBSERVED_GENERATION_EVIDENCE_CONTRACT,B09,OBSERVED_GENERATION_EVIDENCE,PARTIAL,60,SRC-B09-ENTSOE-ACTUAL-GENERATION-TYPE-2026;SRC-B09-ENTSOE-DDD-2023;SRC-B09-ENTSOE-PROCESS-IG-03;SRC-B09-ENTSOE-TERMS-2023;SRC-B09-ENTSOE-REUSE-LIST-2023,Source-native A75/A16 contract with A08/Bxx/provenance/checksum/reuse gates; no real numeric snapshot and A75 raw reuse clearance remains Q.
OBSERVED_GENERATION_TIME_CONTRACT,B09,OBSERVED_GENERATION_TIME,PARTIAL,70,SRC-B09-ENTSOE-DDD-2023;SRC-B09-ENTSOE-PROCESS-IG-03,PT15M/PT30M/PT60M timezone-aware UTC interval mechanics are executable; acquisition-specific source-period validation remains required.
OBSERVED_GENERATION_SPATIAL_GRAIN,B09,OBSERVED_GENERATION_SPATIAL_GRAIN,PARTIAL,45,SRC-B09-ENTSOE-ACTUAL-GENERATION-TYPE-2026;SRC-B09-ENTSOE-GENERATION-UI-2026,Only Hungarian ENTSO-E control-area/bidding-zone grain is supported; DSO/county/regional generation and crosswalk remain Q.
