station_id,winter_label_year,winter_start_utc,winter_end_exclusive_utc,expected_hours,observed_hours,winter_mean_ta_C,coldest_72h_mean_ta_C,coldest_72h_start_utc,coldest_72h_end_utc,evidence_status,source_id,notes
15310,2003,2002-11-30T23:00:00Z,2003-02-28T23:00:00Z,2160,2160,-1.70287,-7.9375,2003-01-10T12:00:00Z,2003-01-13T11:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2004,2003-11-30T23:00:00Z,2004-02-29T23:00:00Z,2184,2184,-0.313599,-6.698611,2003-12-24T11:00:00Z,2003-12-27T10:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2005,2004-11-30T23:00:00Z,2005-02-28T23:00:00Z,2160,2160,-0.973796,-14.286111,2005-02-07T09:00:00Z,2005-02-10T08:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2006,2005-11-30T23:00:00Z,2006-02-28T23:00:00Z,2160,2160,-1.466991,-12.376389,2006-01-23T08:00:00Z,2006-01-26T07:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2007,2006-11-30T23:00:00Z,2007-02-28T23:00:00Z,2160,2160,3.612639,-2.625,2006-12-26T15:00:00Z,2006-12-29T14:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2008,2007-11-30T23:00:00Z,2008-02-29T23:00:00Z,2184,2184,1.791758,-5.275,2007-12-17T19:00:00Z,2007-12-20T18:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2009,2008-11-30T23:00:00Z,2009-02-28T23:00:00Z,2160,2160,0.598102,-8.569444,2009-01-08T20:00:00Z,2009-01-11T19:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2010,2009-11-30T23:00:00Z,2010-02-28T23:00:00Z,2160,2160,-0.071667,-10.802778,2009-12-18T19:00:00Z,2009-12-21T18:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2011,2010-11-30T23:00:00Z,2011-02-28T23:00:00Z,2160,2160,-0.848102,-7.691667,2010-12-16T18:00:00Z,2010-12-19T17:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2012,2011-11-30T23:00:00Z,2012-02-29T23:00:00Z,2184,2184,0.62239,-9.8625,2012-02-03T00:00:00Z,2012-02-05T23:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2013,2012-11-30T23:00:00Z,2013-02-28T23:00:00Z,2160,2160,0.446852,-6.147222,2013-01-25T10:00:00Z,2013-01-28T09:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2014,2013-11-30T23:00:00Z,2014-02-28T23:00:00Z,2160,2160,2.853194,-5.159722,2014-01-25T17:00:00Z,2014-01-28T16:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2015,2014-11-30T23:00:00Z,2015-02-28T23:00:00Z,2160,2160,2.145139,-5.048611,2014-12-29T13:00:00Z,2015-01-01T12:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2016,2015-11-30T23:00:00Z,2016-02-29T23:00:00Z,2184,2184,2.372482,-6.336111,2016-01-02T22:00:00Z,2016-01-05T21:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2017,2016-11-30T23:00:00Z,2017-02-28T23:00:00Z,2160,2160,-0.90037,-7.744444,2017-01-08T10:00:00Z,2017-01-11T09:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2018,2017-11-30T23:00:00Z,2018-02-28T23:00:00Z,2160,2160,1.382546,-9.581944,2018-02-25T23:00:00Z,2018-02-28T22:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2019,2018-11-30T23:00:00Z,2019-02-28T23:00:00Z,2160,2160,1.800509,-3.659722,2019-01-22T03:00:00Z,2019-01-25T02:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2020,2019-11-30T23:00:00Z,2020-02-29T23:00:00Z,2184,2184,3.228297,-2.102778,2020-01-23T22:00:00Z,2020-01-26T21:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2021,2020-11-30T23:00:00Z,2021-02-28T23:00:00Z,2160,2160,2.432546,-4.523611,2021-02-11T06:00:00Z,2021-02-14T05:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2022,2021-11-30T23:00:00Z,2022-02-28T23:00:00Z,2160,2160,2.659398,-2.566667,2022-01-06T22:00:00Z,2022-01-09T21:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2023,2022-11-30T23:00:00Z,2023-02-28T23:00:00Z,2160,2160,2.930231,-3.6375,2023-02-06T10:00:00Z,2023-02-09T09:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2024,2023-11-30T23:00:00Z,2024-02-29T23:00:00Z,2184,2184,3.425321,-4.183333,2024-01-08T11:00:00Z,2024-01-11T10:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
15310,2025,2024-11-30T23:00:00Z,2025-02-28T23:00:00Z,2160,2160,1.688704,-2.925,2025-02-17T09:00:00Z,2025-02-20T08:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2003,2002-11-30T23:00:00Z,2003-02-28T23:00:00Z,2160,2160,-2.187639,-9.493056,2003-01-11T00:00:00Z,2003-01-13T23:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2004,2003-11-30T23:00:00Z,2004-02-29T23:00:00Z,2184,2184,0.283883,-7.175,2004-01-04T23:00:00Z,2004-01-07T22:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2005,2004-11-30T23:00:00Z,2005-02-28T23:00:00Z,2160,2160,-0.101343,-7.345833,2005-02-07T12:00:00Z,2005-02-10T11:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2006,2005-11-30T23:00:00Z,2006-02-28T23:00:00Z,2160,2160,-0.680046,-10.352778,2006-01-23T09:00:00Z,2006-01-26T08:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2007,2006-11-30T23:00:00Z,2007-02-28T23:00:00Z,2160,2160,4.188102,-2.951389,2006-12-26T07:00:00Z,2006-12-29T06:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2008,2007-11-30T23:00:00Z,2008-02-29T23:00:00Z,2184,2184,1.615156,-6.138889,2008-01-03T00:00:00Z,2008-01-05T23:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2009,2008-11-30T23:00:00Z,2009-02-28T23:00:00Z,2160,2160,0.946019,-7.483333,2009-01-08T19:00:00Z,2009-01-11T18:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2010,2009-11-30T23:00:00Z,2010-02-28T23:00:00Z,2160,2160,0.025278,-9.933333,2009-12-18T20:00:00Z,2009-12-21T19:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2011,2010-11-30T23:00:00Z,2011-02-28T23:00:00Z,2160,2160,-0.58875,-8.641667,2010-12-27T22:00:00Z,2010-12-30T21:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2012,2011-11-30T23:00:00Z,2012-02-29T23:00:00Z,2184,2184,0.660577,-10.186111,2012-02-04T07:00:00Z,2012-02-07T06:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2013,2012-11-30T23:00:00Z,2013-02-28T23:00:00Z,2160,2160,0.595093,-3.779167,2012-12-11T03:00:00Z,2012-12-14T02:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2014,2013-11-30T23:00:00Z,2014-02-28T23:00:00Z,2160,2160,3.205417,-4.726389,2014-01-25T10:00:00Z,2014-01-28T09:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2015,2014-11-30T23:00:00Z,2015-02-28T23:00:00Z,2160,2160,2.575694,-6.672222,2014-12-29T14:00:00Z,2015-01-01T13:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2016,2015-11-30T23:00:00Z,2016-02-29T23:00:00Z,2184,2184,2.418773,-7.527778,2016-01-02T05:00:00Z,2016-01-05T04:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2017,2016-11-30T23:00:00Z,2017-02-28T23:00:00Z,2160,2160,-0.934074,-10.8625,2017-01-06T11:00:00Z,2017-01-09T10:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2018,2017-11-30T23:00:00Z,2018-02-28T23:00:00Z,2160,2160,1.983287,-7.1875,2018-02-25T23:00:00Z,2018-02-28T22:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2019,2018-11-30T23:00:00Z,2019-02-28T23:00:00Z,2160,2160,1.807315,-6.3125,2018-12-17T17:00:00Z,2018-12-20T16:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2020,2019-11-30T23:00:00Z,2020-02-29T23:00:00Z,2184,2184,2.97326,-2.602778,2020-01-12T21:00:00Z,2020-01-15T20:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2021,2020-11-30T23:00:00Z,2021-02-28T23:00:00Z,2160,2160,2.798333,-5.773611,2021-02-11T08:00:00Z,2021-02-14T07:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
44527,2022,2021-11-30T23:00:00Z,2022-02-28T23:00:00Z,2160,2160,2.881204,-2.729167,2022-01-22T17:00:00Z,2022-01-25T16:00:00Z,DER,SRC-B05-HUNGARY-HOURLY-HIST-2026,Complete Dec-Feb Europe/Budapest winter; source-native ta; no imputation; 72h event wholly inside winter.
